,diesel,petrol
Jabalpur,93.93 ₹/L,108.66 ₹/L
Jagatsinghpur,94.28 ₹/L,102.71 ₹/L
Jagitial,98.53 ₹/L,110.43 ₹/L
Jahanabad,94.51 ₹/L,107.74 ₹/L
Jahbua,94.26 ₹/L,109.02 ₹/L
Jaipur,93.72 ₹/L,108.48 ₹/L
Jaisalmer,95.86 ₹/L,110.83 ₹/L
Jajpur,94.96 ₹/L,103.42 ₹/L
Jalandhar,87.68 ₹/L,97.32 ₹/L
Jalaun,90.44 ₹/L,97.29 ₹/L
Jalgaon,92.70 ₹/L,106.17 ₹/L
Jalna,94.73 ₹/L,108.30 ₹/L
Jalor,96.06 ₹/L,111.06 ₹/L
Jalpaiguri,92.48 ₹/L,105.73 ₹/L
Jammu,83.35 ₹/L,97.60 ₹/L
Jamnagar,91.78 ₹/L,96.04 ₹/L
Jamtara,95.19 ₹/L,100.41 ₹/L
Jamui,94.93 ₹/L,108.21 ₹/L
Jangaon,97.45 ₹/L,109.27 ₹/L
Janjgir,95.72 ₹/L,102.74 ₹/L
Jashpur,96.98 ₹/L,104.02 ₹/L
Jaunpur,90.97 ₹/L,97.80 ₹/L
Jayashankar Bhupalpa,97.73 ₹/L,109.57 ₹/L
Jhajjar,89.71 ₹/L,96.84 ₹/L
Jhalawar,94.80 ₹/L,109.69 ₹/L
Jhansi,89.90 ₹/L,96.73 ₹/L
Jhargram,93.53 ₹/L,106.89 ₹/L
Jharsuguda,94.89 ₹/L,103.31 ₹/L
Jhunjhunun,95.03 ₹/L,109.93 ₹/L
Jind,90.02 ₹/L,97.17 ₹/L
Jiribam,88.96 ₹/L,103.21 ₹/L
Jodhpur,94.98 ₹/L,109.86 ₹/L
Jogulamba Gadwal,99.55 ₹/L,111.51 ₹/L
Jorhat,89.01 ₹/L,97.49 ₹/L
Junagadh,93.50 ₹/L,97.73 ₹/L
Kaimur,95.65 ₹/L,108.97 ₹/L
Kaithal,89.66 ₹/L,96.80 ₹/L
Kakching,87.41 ₹/L,101.49 ₹/L
Kalahandi,97.25 ₹/L,105.75 ₹/L
Kalimpong,92.71 ₹/L,105.98 ₹/L
Kamareddy,98.95 ₹/L,110.88 ₹/L
Kamrup,88.68 ₹/L,97.15 ₹/L
Kamrup Metro,88.56 ₹/L,97.02 ₹/L
Kanchipuram,94.41 ₹/L,102.81 ₹/L
Kandhamal,96.41 ₹/L,104.91 ₹/L
Kangpokpi,87.46 ₹/L,101.55 ₹/L
Kangra,84.52 ₹/L,95.27 ₹/L
Kanker,96.89 ₹/L,103.92 ₹/L
Kanniyakumari,95.24 ₹/L,103.60 ₹/L
Kannuaj,90.57 ₹/L,97.41 ₹/L
Kannur,96.93 ₹/L,108.00 ₹/L
Kanpur Rural,89.60 ₹/L,96.41 ₹/L
Kanpur Urban,89.81 ₹/L,96.63 ₹/L
Kapurthala,87.41 ₹/L,97.04 ₹/L
Karaikal,86.12 ₹/L,95.89 ₹/L
Karauli,93.74 ₹/L,108.53 ₹/L
Karbi Anglong,89.63 ₹/L,98.10 ₹/L
Karim Nagar,97.92 ₹/L,109.78 ₹/L
Karimganj,89.74 ₹/L,98.19 ₹/L
Karnal,89.34 ₹/L,96.48 ₹/L
Karur,94.55 ₹/L,102.92 ₹/L
Kasaragod,97.29 ₹/L,108.39 ₹/L
Kashi Ram Nagar,90.07 ₹/L,96.91 ₹/L
Kathua,83.92 ₹/L,98.21 ₹/L
Katihar,95.38 ₹/L,108.70 ₹/L
Katni,94.88 ₹/L,109.70 ₹/L
Kaushambi,89.96 ₹/L,96.76 ₹/L
Kawardha,96.37 ₹/L,103.41 ₹/L
Kendrapara,94.66 ₹/L,103.11 ₹/L
Keonjhar,96.67 ₹/L,105.20 ₹/L
Khagaria,94.34 ₹/L,107.59 ₹/L
Khammam,98.40 ₹/L,110.30 ₹/L
Khandwa,95.06 ₹/L,109.89 ₹/L
Khargone,94.47 ₹/L,109.24 ₹/L
Kheda,91.96 ₹/L,96.22 ₹/L
Khordha,94.76 ₹/L,103.19 ₹/L
Khowai,88.03 ₹/L,99.06 ₹/L
Khunti,94.72 ₹/L,99.91 ₹/L
Kinnaur,88.11 ₹/L,99.44 ₹/L
Kiphere,89.76 ₹/L,101.77 ₹/L
Kishanganj,95.99 ₹/L,109.35 ₹/L
Kishtwar,86.24 ₹/L,101.09 ₹/L
Kodagu,88.90 ₹/L,103.19 ₹/L
Koderma,95.42 ₹/L,100.64 ₹/L
Kohima,87.56 ₹/L,99.45 ₹/L
Kokrajhar,89.10 ₹/L,97.57 ₹/L
Kolar,87.83 ₹/L,101.87 ₹/L
Kolasib,81.23 ₹/L,94.62 ₹/L
Kolhapur,93.01 ₹/L,106.47 ₹/L
Kolkata,92.76 ₹/L,106.03 ₹/L
Kollam,97.95 ₹/L,109.11 ₹/L
Komram Bheem Asifaba,99.48 ₹/L,111.45 ₹/L
Kondagaon,97.40 ₹/L,104.45 ₹/L
Koppal,89.08 ₹/L,103.21 ₹/L
Koraput,99.21 ₹/L,107.79 ₹/L
Korba,95.17 ₹/L,102.18 ₹/L
Koria,96.11 ₹/L,103.13 ₹/L
Kota,93.84 ₹/L,108.62 ₹/L
Kottayam,97.00 ₹/L,108.10 ₹/L
Kozhikode,97.20 ₹/L,108.28 ₹/L
Krishna,99.16 ₹/L,111.38 ₹/L
Krishnagiri,95.83 ₹/L,104.23 ₹/L
Kulgam,86.40 ₹/L,101.26 ₹/L
Kullu,86.06 ₹/L,97.00 ₹/L
Kupwara,87.59 ₹/L,102.65 ₹/L
Kurnool,99.76 ₹/L,112.03 ₹/L
Kurukshetra,89.84 ₹/L,96.99 ₹/L
Kushinagar,89.63 ₹/L,96.44 ₹/L
Kutch,92.33 ₹/L,96.59 ₹/L
Lahul & Spiti,87.90 ₹/L,99.18 ₹/L
Lakhimpur,90.28 ₹/L,98.77 ₹/L
Lalitpur,90.22 ₹/L,97.06 ₹/L
Latehar,95.68 ₹/L,100.87 ₹/L
Latur,93.69 ₹/L,107.19 ₹/L
Lawngtlai,84.03 ₹/L,97.77 ₹/L
Lohardaga,95.53 ₹/L,100.72 ₹/L
Lohit,84.66 ₹/L,95.39 ₹/L
Longding,84.35 ₹/L,95.06 ₹/L
Longleng,88.94 ₹/L,100.76 ₹/L
Lower Dibang Valley,84.80 ₹/L,95.60 ₹/L
Lower Subansiri,82.40 ₹/L,93.03 ₹/L
Luckeesarai,94.76 ₹/L,108.04 ₹/L
Lucknow,89.81 ₹/L,96.62 ₹/L
Ludhiana,87.80 ₹/L,97.45 ₹/L
Lunglei,83.44 ₹/L,97.14 ₹/L
Madhepura,94.89 ₹/L,108.17 ₹/L
Madhubani,95.32 ₹/L,108.63 ₹/L
Madurai,94.98 ₹/L,103.35 ₹/L
Mahabubabad,97.72 ₹/L,109.56 ₹/L
Maharajganj,90.42 ₹/L,97.25 ₹/L
Mahasamund,96.69 ₹/L,103.73 ₹/L
Mahe,83.72 ₹/L,93.80 ₹/L
Mahendragarh,89.95 ₹/L,97.08 ₹/L
Mahisagar,92.90 ₹/L,97.16 ₹/L
Mahoba,90.63 ₹/L,97.48 ₹/L
Mainpuri,90.23 ₹/L,97.08 ₹/L
Majuli,90.78 ₹/L,99.30 ₹/L
Malappuram,97.75 ₹/L,108.90 ₹/L
Malda,92.70 ₹/L,105.96 ₹/L
Malkangiri,100.29 ₹/L,108.92 ₹/L
Mamit,82.42 ₹/L,96.02 ₹/L
Mancherial,98.74 ₹/L,110.65 ₹/L
Mandi,85.38 ₹/L,96.20 ₹/L
Mandla,95.27 ₹/L,110.12 ₹/L
Mandsaur,94.93 ₹/L,109.75 ₹/L
Mandya,88.10 ₹/L,102.17 ₹/L
Mansa,87.57 ₹/L,97.21 ₹/L
Mathura,89.33 ₹/L,96.17 ₹/L
Maunathbhanjan,90.57 ₹/L,97.40 ₹/L
Mayurbhanj,95.60 ₹/L,104.05 ₹/L
Medak,98.24 ₹/L,110.10 ₹/L
Medchal Malkajgiri,97.82 ₹/L,109.66 ₹/L
Meerut,89.64 ₹/L,96.46 ₹/L
Mehabubnagar,98.70 ₹/L,110.60 ₹/L
Mehsana,92.17 ₹/L,96.40 ₹/L
Mewat,89.81 ₹/L,96.94 ₹/L
Mirzapur,90.63 ₹/L,97.45 ₹/L
Moga,88.20 ₹/L,97.87 ₹/L
Mokokchung,88.99 ₹/L,101.02 ₹/L
Mon,88.75 ₹/L,100.62 ₹/L
Moradabad,90.01 ₹/L,96.83 ₹/L
Morbi,92.54 ₹/L,96.77 ₹/L
Morena,94.27 ₹/L,109.04 ₹/L
Morigaon,89.11 ₹/L,97.59 ₹/L
Muktsar,87.48 ₹/L,97.13 ₹/L
Mulugu,97.47 ₹/L,109.29 ₹/L
Mumbai City,94.27 ₹/L,106.31 ₹/L
Mungeli,96.18 ₹/L,103.20 ₹/L
Munger,94.23 ₹/L,107.47 ₹/L
Murshidabad,92.92 ₹/L,106.20 ₹/L
Muzaffarnagar,89.81 ₹/L,96.63 ₹/L
Muzaffarpur,94.79 ₹/L,108.07 ₹/L
Mysore,87.49 ₹/L,101.50 ₹/L
